Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-04-03	",1589.81,21864,29.5,0,18,6359.24,33.336,17
"2020-04-04	",1749.91,24219,29.1,0,20,6999.64,38.892,15
"2020-04-05	",1559.47,21591,29.7,0,20,6237.88,37.04,13
"2020-04-06	",1855.73,25467,29.1,0,19,7422.92,35.188,11
"2020-04-07	",1828.26,25060,29.8,0,16,7313.04,29.632,13
"2020-04-08	",1572.74,22648,30.4,0,13,6290.96,24.076,19
"2020-04-09	",1644.42,22242,30.2,0,18,6577.68,33.336,18
"2020-04-10	",1303.01,18949,29.6,0,16,5212.04,29.632,21
"2020-04-11	",1661.13,24200,30.1,0,20,6644.52,37.04,19
"2020-04-12	",1798.13,25501,29.8,0,16,7192.52,29.632,18
"2020-04-13	",1686.44,24747,30.5,0,22,6745.76,40.744,17
"2020-04-14	",1284.78,18826,28.9,1.3,15,5139.12,27.78,18
"2020-04-16	",1499.45,21256,29,0.5,17,5997.8,31.484,10
"2020-04-17	",1132.6,14781,28.8,0,11,4530.4,20.37,13
"2020-04-18	",1709.99,21174,28.8,0.9,20,6839.96,37.04,10
"2020-04-19	",1594.05,21605,29.9,0,24,6376.2,44.448,16
"2020-04-20	",1929.3,25256,30.2,0,20,7717.2,37.04,14
"2020-04-21	",1930.79,25078,30.2,0,18,7723.16,33.336,15
"2020-04-22	",1902.7,26080,29.9,0,13,7610.8,24.076,14
"2020-04-23	",1434.75,18921,29.8,0,17,5739,31.484,11
"2020-04-24	",1490.58,19695,29.4,0,25,5962.32,46.3,10
"2020-04-25	",1450.11,18676,29.5,0,22,5800.44,40.744,9
"2020-04-26	",1047.68,13114,27.6,30.3,22,4190.72,40.744,11
"2020-04-27	",427.12,5512,25.9,4.2,11,1708.48,20.37,8
"2020-04-28	",1020.72,12534,27.8,0,12,4082.88,22.224,5
"2020-04-29	",806.4,10259,27.3,0.3,9,3225.6,16.668,12
"2020-05-01	",1309.66,16121,28.7,0,12,5238.64,22.224,11
"2020-05-02	",1779.98,22499,29.5,0,17,7119.92,31.484,12
"2020-05-03	",1787.18,23090,29.4,0,16,7148.72,29.632,14
"2020-05-04	",1742.51,22419,29.2,0,13,6970.04,24.076,17
"2020-05-05	",1743.34,23093,30,0,15,6973.36,27.78,19
"2020-05-06	",1764.15,23948,30.2,0,17,7056.6,31.484,17
"2020-05-07	",1749.52,22276,30.6,0,18,6998.08,33.336,14
"2020-05-08	",1292.95,17071,30.3,0,12,5171.8,22.224,11
"2020-05-09	",1512.13,20594,30.3,0,14,6048.52,25.928,13
"2020-05-10	",1211.69,15917,30.1,0,14,4846.76,25.928,13
"2020-05-11	",1246.71,15845,29.7,0,15,4986.84,27.78,17
"2020-05-12	",908.65,11708,28.2,29.7,18,3634.6,33.336,11
"2020-05-13	",1280.36,17683,28.4,0.3,14,5121.44,25.928,13
"2020-05-14	",1417.24,19760,29.4,0,17,5668.96,31.484,11
"2020-05-15	",1151.56,13270,30.3,0,21,4606.24,38.892,15
"2020-05-16	",1592.16,20793,30.3,0,11,6368.64,20.37,13
"2020-05-17	",1233.28,15373,29.5,0,13,4933.12,24.076,14
"2020-05-18	",1525.49,20161,30.8,0,21,6101.96,38.892,11
"2020-05-19	",1526.84,20107,30.6,0,13,6107.36,24.076,16
"2020-05-20	",1289.95,16344,28.4,6.8,26,5159.8,50.004,14
"2020-05-21	",1525.97,20214,29.1,0,14,6103.88,25.928,16
"2020-05-22	",984.17,14057,29,3.3,13,3936.68,24.076,15
"2020-05-23	",1466.92,18845,29.2,9,11,5867.68,20.37,15
"2020-05-24	",941.13,11890,28.2,0,17,3764.52,31.484,20
"2020-05-26	",1019.64,12007,29.4,0,12,4078.56,22.224,n/a
"2020-05-27	",1365.05,16167,28.9,0.7,11,5460.2,20.37,n/a
"2020-05-28	",1863.56,24321,29.1,19.3,10,7454.24,18.52 ,7
"2020-05-29	",1052.06,12498,27.3,1.8,15,4208.24,27.78,9
"2020-05-30	",1386.33,17684,28.6,0.3,10,5545.32,18.52 ,10
"2020-05-31	",1182.97,15962,27.6,5.2,17,4731.88,31.484,6
"2020-06-01	",1759.51,22964,27.9,44.7,20,7140.12,37.04,9
"2020-06-02	",1009.67,12739,27,6.3,18,6869.28,33.336,9
"2020-06-03	",1250.06,16051,27.1,31.8,26,6359.24,48.152,11
"2020-06-04	",1728.55,21964,28.3,0.5,15,6999.64,27.78,n/a
"2020-06-05	",1273.97,16272,27.2,11,19,6237.88,35.188,n/a
"2020-06-06	",1602.92,18786,27.9,2,16,7422.92,29.632,15
"2020-06-07	",1261.76,16045,26.9,2.2,9,7313.04,16.668,12
"2020-06-08	",1470.75,19674,26.8,4,21,6290.96,38.892,17
"2020-06-09	",1379.27,16973,27,17.9,18,6577.68,33.336,10
"2020-06-10	",1576.26,19391,27.6,0,15,5212.04,27.78,9
"2020-06-11	",1221.55,14861,26.9,20.9,24,6644.52,44.448,18
"2020-06-12	",1662.47,20110,28.5,0,14,7192.52,25.928,14
"2020-06-13	",1585.78,18716,28.5,1.3,21,6745.76,38.892,12
"2020-06-14	",1284.26,15947,26.5,19.7,19,5139.12,35.188,8
"2020-06-15	",1110.25,13783,26.5,7.8,18,5118.28,33.336,10
"2020-06-16	",1520.43,18486,28.8,1.3,12,5997.8,22.224,14
"2020-06-17	",1336.64,16455,27.5,5.3,12,4530.4,22.224,11
"2020-06-18	",1357.7,17413,27.7,11.1,11,6839.96,20.37,10
"2020-06-19	",1673.03,21949,28.1,0.8,15,6376.2,27.78,9
"2020-06-20	",1500.53,18441,28.1,22.7,16,7717.2,29.632,13
"2020-06-22	",1202.45,15731,27.3,29.3,12,7610.8,22.224,12
"2020-06-23	",1570.72,19589,28.3,0,10,5739,18.52 ,16
"2020-06-24	",1789.83,22790,29.5,0,9,5962.32,16.668,18
"2020-06-25	",1373.48,18528,28.6,15.9,20,5800.44,37.04,15
