Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
"2019-06-23	",1270.1,16187,27,69.5,16,29.632,14
"2019-06-24	",1037.84,13607,27.9,0.3,13,24.076,11
"2019-06-25	",1300.92,15681,27.3,1.5,16,29.632,11
"2019-06-26	",1610.01,21890,28.7,0,19,35.18,11
"2019-06-27	",1467.47,19131,28.2,T,12,22.224,16
"2019-06-28	",1527.87,19812,28.7,0,20,37.04,17
"2019-06-29	",1581.61,19978,28.7,0,16,29.632,20
"2019-06-30	",1541.74,19269,29.2,0,14,25.928,20
 ,1372.964,17675.1,28.1,5.963333333,14.7,,13.6
"2019-07-01	",1698.35,23845,30.7,0,18,33.336,14
"2019-07-02	",1496.73,18832,29.3,2,15,27.78,19
"2019-07-03	",752.51,9627,27.5,0,10,18.52,15
"2019-07-04	",1249.65,16476,28.4,0,16,29.632,16
"2019-07-05	",1669.24,22117,28.7,T,13,24.076,21
"2019-07-06	",1542.7,20166,27.7,0,11,20.372,26
"2019-07-07	",1677.86,20357,28.4,3.2,13,24.076,19
"2019-07-08	",1219.04,15782,27.2,4.6,19,35.18,17
"2019-07-09	",1875.75,25578,28.3,0,10,18.52,20
"2019-07-10	",1428.79,18404,27.8,8.4,13,24.076,21
"2019-07-11	",1599.08,20433,28.5,0,10,18.52,23
"2019-07-12	",1409.21,18144,27,6.3,17,31.484,20
"2019-07-13	",1478.52,18916,27.7,0.7,19,35.18,23
"2019-07-14	",1660.75,21344,28.7,0,15,27.78,15
"2019-07-15	",1596.92,22019,28.3,0,16,29.632,13
"2019-07-16	",914.41,13045,26.3,13.2,15,27.78,13
"2019-07-17	",1389.64,18391,27.2,1.8,15,27.78,10
"2019-07-18	",1153.29,15401,26.3,9.3,31,57.412,8
"2019-07-19	",1197.8,15472,26,13,14,25.928,7
"2019-07-20	",1220.06,15200,26.8,4.6,26,48.152,9
"2019-07-21	",1668.63,22068,28.1,0,13,24.076,11
"2019-07-22	",1719.42,23991,29,0,12,22.224,12
"2019-07-23	",1738.5,22625,28.5,0,13,24.076,14
"2019-07-24	",1598.01,21920,28.1,0,15,27.78,20
"2019-07-25	",1147.45,14912,27.8,0,10,18.52,19
"2019-07-26	",1509.59,20857,29.4,0.4,8,14.816,23
"2019-07-27	",1146.77,15127,27.9,T,13,24.076,19
"2019-07-28	",1719.74,22005,28.1,0.1,11,20.372,14
"2019-07-29	",1297.97,18632,29,0,16,29.632,17
"2019-07-30	",1712.32,23102,29.2,0,15,27.78,19
"2019-07-31	",1575.06,21012,28.9,0,15,27.78,16
,1453.669677,19219.35484,28.09032258,2.180645161,14.74193548,,16.5483871
