Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
"2020-01-01	",1567.42,19205,27.3,0,15,27.78,13
"2020-01-02	",964.9,11959,25.8,0,22,40.744,23
"2020-01-03	",890.32,11626,25.5,T,15,27.78,23
"2020-01-04	",1394.07,18664,26.2,0,13,24.076,18
"2020-01-05	",1127.77,14301,25.9,0,13,24.076,20
"2020-01-06	",1607.11,20913,25.6,0,13,24.076,18
"2020-01-07	",1524.31,19010,25.6,0,9,16.668,31
"2020-01-08	",1212.44,15067,26.7,T,12,22.224,18
"2020-01-09	",1374.05,18552,27.3,0,13,24.076,12
"2020-01-10	",1179.83,15268,27.2,0,10,18.52 ,17
"2020-01-11	",1177.81,15064,27.3,0,7,12.96,21
"2020-01-12	",1502.91,19657,27.3,0,12,22.224,29
"2020-01-13	",1107.9,14284,26.5,0,11,20.37,25
"2020-01-14	",1536.3,21259,26.5,0,14,25.928,17
"2020-01-15	",1397.19,16550,26.2,0,12,22.224,22
"2020-01-16	",1490.52,20110,26.3,0,15,27.78,31
"2020-01-17	",1513.13,20445,26.3,0,13,24.076,32
"2020-01-18	",1470.55,18624,26.9,0,15,27.78,32
"2020-01-19	",1225.52,15730,27.5,0,11,20.37,26
"2020-01-20	",1353.74,17924,27.3,0,18,33.336,25
"2020-01-21	",1492.11,19499,27.6,0,17,31.484,12
"2020-01-22	",1531.5,20434,26.9,0,14,25.928,20
"2020-01-23	",1482.15,19494,27.5,0,16,29.632,13
"2020-01-24	",1480.8,19779,27.1,0,10,18.52 ,18
"2020-01-25	",1567.62,20866,26.3,0,9,16.668,15
"2020-01-26	",1704.23,22837,26.3,0,14,25.928,17
"2020-01-27	",1571.08,20201,26.6,0,12,22.224,16
"2020-01-28	",1444.02,18437,26.7,0,13,24.076,18
"2020-01-29	",1566.56,21005,26.7,0,13,24.076,19
"2020-01-30	",1637.03,21882,26.7,0,15,27.78,20
"2020-01-31	",1530.06,19875,26.7,0,12,22.224,21
,1407.256452,18339.3871,26.65483871,0,13.16129032,,20.70967742
"2020-02-01	",1622.27,21090,27.2,0,16,29.632,22
"2020-02-02	",1515.43,18798,27.2,0,19,35.188,21
"2020-02-03	",1587.65,21521,26.5,0,19,35.188,30
"2020-02-04	",1519.28,20713,26,0,18,33.336,27
"2020-02-05	",1561.38,21957,26.2,0,18,33.336,15
"2020-02-06	",1537.27,21754,26.5,0,16,29.632,17
"2020-02-07	",1693.87,23344,26.7,0,18,33.336,19
"2020-02-08	",1656.34,22756,26.2,0,15,27.78,27
"2020-02-09	",1148.17,15411,26.1,0,14,25.928,24
"2020-02-10	",867.85,12327,26.8,3.4,19,35.188,27
"2020-02-11	",794.79,10428,25.6,3.3,19,35.188,16
"2020-02-12	",1674.69,23158,27.6,0,14,25.928,11
"2020-02-13	",1089.49,14198,27.5,0,18,33.336,10
"2020-02-14	",1585.36,22247,27.9,0,17,31.484,13
"2020-02-15	",1700.44,23679,28.5,0,14,25.928,11
"2020-02-16	",1675.49,21703,28.3,0,13,24.076,12
"2020-02-17	",1782.58,24604,27.2,2.6,17,31.484,12
"2020-02-18	",1167.1,15592,26.5,0.4,14,25.928,15
"2020-02-19	",1284.65,16090,26.8,T,7,12.96,22
"2020-02-20	",1601.65,22786,27.4,0,13,24.076,25
"2020-02-21	",1006.68,13149,26.3,0,18,33.336,22
"2020-02-22	",976.17,13016,25.8,0.9,22,42.596,23
"2020-02-23	",1188.56,15764,26,T,15,27.78,23
"2020-02-24	",1784.57,22507,27.2,0,18,33.336,21
"2020-02-25	",1768.73,24380,26.6,0,19,35.188,21
"2020-02-26	",1763.96,23865,26.8,0,18,33.336,18
"2020-02-27	",1594.9,22287,27.5,0,16,29.632,18
"2020-02-28	",1372.58,17104,27.6,0,17,31.484,17
"2020-02-29	",1762.48,23267,27.7,0,17,31.484,18
,1458.082069,19637.75862,26.90344828,0.365517241,16.48275862,,19.20689655
"2020-03-01	",1795.43,24234,27.3,0,17,31.484,23
"2020-03-02	",1660.58,21732,27.2,0,15,27.78,24
"2020-03-03	",1495.87,20978,27.6,0,15,27.78,16
"2020-03-04	",1809.19,24699,27.8,0,17,31.484,13
"2020-03-05	",1839.1,25127,28.1,0,19,35.188,12
"2020-03-06	",1532.16,19815,28.5,0,17,31.484,16
"2020-03-07	",1798.67,24101,29,0,12,22.224,18
"2020-03-08	",1821.91,24921,28.8,0,13,24.076,18
"2020-03-09	",1778.65,24786,29.7,0,12,22.224,21
"2020-03-10	",1638.87,22964,29.6,0,13,24.076,22
"2020-03-11	",1592.07,22150,29.6,0,12,22.224,25
"2020-03-12	",1800.65,25171,29.3,0,16,29.632,26
"2020-03-13	",1794.49,23254,29.2,0,16,29.632,20
"2020-03-14	",1876.44,26222,29,0,18,33.336,15
"2020-03-15	",1737.49,25648,28.8,0,17,31.484,10
"2020-03-16	",1807.14,23250,28.9,0,23,44.448,11
"2020-03-17	",1787.71,24427,28.4,0,18,33.336,20
"2020-03-18	",1777.28,24479,27.9,0,16,29.632,16
"2020-03-19	",1740.21,24257,28.5,0,11,20.37,22
"2020-03-20	",1710.15,24252,28.5,0,17,31.484,22
"2020-03-21	",1866.82,24974,27.7,0,14,25.928,20
"2020-03-22	",1849.19,25440,27,0,16,29.632,16
"2020-03-23	",1762.03,24629,28,0,13,24.076,18
"2020-03-24	",1817.37,25620,28,0,18,33.336,18
"2020-03-25	",1746.53,24133,29.1,0,18,33.336,20
"2020-03-26	",1825.12,24401,29.2,0,18,33.336,14
"2020-03-27	",1888.46,26480,29.3,0,13,24.076,13
"2020-03-28	",1779.27,25481,29.7,0,13,24.076,18
"2020-03-29	",1597.55,22247,29.2,0,16,29.632,19
"2020-03-30	",1594.8,22586,29.6,0,16,29.632,26
"2020-03-31	",1835.94,25746,29.5,0,15,27.78,26
,1753.456129,24135.6129,28.64516129,0,15.61290323,,18.64516129
"2020-04-01	",1785.03,26169,29.6,0,14,25.928,16
"2020-04-02	",1717.32,23334,30.1,0,18,33.336,21
"2020-04-03	",1589.81,21864,29.5,0,18,33.336,17
"2020-04-04	",1749.91,24219,29.1,0,20,38.892,15
"2020-04-05	",1559.47,21591,29.7,0,20,37.04,13
"2020-04-06	",1855.73,25467,29.1,0,19,35.188,11
"2020-04-07	",1828.26,25060,29.8,0,16,29.632,13
"2020-04-08	",1572.74,22648,30.4,0,13,24.076,19
"2020-04-09	",1644.42,22242,30.2,0,18,33.336,18
"2020-04-10	",1303.01,18949,29.6,0,16,29.632,21
