date,Yield,irradiance,temp,rain,wind,dust,income
13/8/2021,1488.34,15263,28.1,1.2,46.3,16,5953.36
14/8/2021,1048.56,14409,28.8,0.7,9.26,11,4194.24
15/8/2021,964.94,10677,28.4,0.4,20.372,11,3859.76
16/8/2021,1415.26,16171,27.5,2.2,27.78,17,5661.04
17/8/2021,1585.76,21526,26.6,14,50.004,10,6343.04
18/8/2021,1340.78,20734,28,0,20.372,13,5363.12
19/8/2021,1335.59,14029,29.6,0,18.52,17,5342.36
20/8/2021,788.93,13866,29.1,0,16.668,14,3155.72
21/8/2021,1138.63,16704,28.2,2,29.632,12,4554.52
22/8/2021,1482.31,16993,27,69.5,29.632,14,5929.24
23/8/2021,1134.79,21437,27.9,0.3,24.076,11,4539.16
24/8/2021,1089.23,15209,27.3,1.5,29.632,11,4356.92
25/8/2021,951.95,20368,26.7,0,14.816,8,3807.8
26/8/2021,1271.99,12730,27.3,2,16.668,7,5087.96
27/8/2021,1139.81,15424,26.7,2,31.484,10,4559.24
28/8/2021,1365.54,21970,27.2,0.8,25.928,9,5462.16
29/8/2021,1205.56,18357,25.3,19.1,16.668,11,4822.24
30/8/2021,823.42,20642,27.4,12.6,64.82,8,3293.68
31/8/2021,1450.32,13407,28.3,0,14.816,12,5801.28
1/9/2021,870.5,11916,28.5,7.9,20.372,12,3482
2/9/2021,1098.08,14945,29.6,0,18.52,17,4392.32
3/9/2021,1076.85,14961,29.6,0,18.52,17,4307.4
4/9/2021,1465.97,20826,26.7,0,14.816,8,5863.88
5/9/2021,1391.31,19677,27.2,0.8,25.928,9,5565.24
6/9/2021,1501.43,21694,27.3,2,16.668,7,6005.72
7/9/2021,606.7,8461,26.7,2,31.484,10,2426.8
8/9/2021,1308.66,18616,27.2,0.8,25.928,9,5234.64
9/9/2021,675.57,9279,25.3,19.1,16.668,11,2702.28
10/9/2021,1090.68,14950,29.6,0,18.52,17,4362.72
11/9/2021,1287.03,16880,28.3,0,14.816,12,5148.12
12/9/2021,1407.43,20518,28.5,7.9,20.372,12,5629.72
13/9/2021,1232.83,16335,29.6,0,18.52,17,4931.32
14/9/2021,1190.78,16541,29.6,0,18.52,17,4763.12
15/9/2021,701.32,9571,28.8,0.7,9.26,11,2805.28
